Kloc+,Effort-,Defects-,Months-,Time
2.839,3.456,1.631,0.377
1.893,1.493,2.759,0.387
2.973,2.991,1.113,0.255
4.656,1.583,2.463,0.211
3.3,1.796,1.327,0.23
2.779,2.173,4.538,0.393
3.212,2.816,1.631,0.433
3.496,3.739,2.892,0.497
1.43,3.673,1.864,0.331
1.842,2.475,2.03,0.317
1.943,3.783,1.258,0.394
3.807,2.392,5.056,0.327
3.764,2.288,3.894,0.336
4.243,5.019,3.815,0.343
2.403,7.35,2.031,0.322
2.565,2.95,1.416,0.284
1.689,2.128,1.901,0.342
2.041,2.128,2.223,0.333
3.074,5.919,1.153,0.327
3.496,2.412,2.402,0.465
,,,,3.34
