AverageTimePerIteration-,Time
0.509
0.463
0.461
0.446
0.462
0.42
0.432
0.44
0.471
0.453
0.45
0.424
0.441
0.456
0.438
0.425
0.461
0.474
0.454
0.49
,344.29
