AverageTimePerIteration-,Time
0.016
0.018
0.017
0.018
0.018
0.018
0.016
0.016
0.017
0.017
0.017
0.018
0.015
0.018
0.016
0.018
0.017
0.018
0.016
0.017
,9.02
