LOC+, AEXP-, PLEX-, RISK-, EFFORT-,Time
2.57,0.011,0.009,inf,3.622
2.466,0.009,0.01,inf,5.23
1.597,0.01,0.011,inf,5.23
2.27,0.008,0.01,inf,6.799
2.379,0.01,0.009,inf,4.319
1.551,0.009,0.009,inf,5.46
2.595,0.011,0.01,inf,4.082
1.812,0.013,0.009,inf,10.392
1.468,0.01,0.009,inf,7.406
2.585,0.01,0.009,inf,11.059
1.539,0.007,0.01,inf,5.122
2.956,0.009,0.008,inf,4.125
3.201,0.008,0.01,inf,5.668
3.256,0.011,0.007,inf,14.656
2.312,0.013,0.009,inf,6.46
1.597,0.01,0.009,inf,5.122
2.561,0.012,0.012,inf,11.059
2.57,0.01,0.009,inf,7.944
3.167,0.009,0.009,inf,5.104
2.918,0.009,0.009,inf,3.805
,,,,,269.2
