Lbs-,	Acc+,	Mpg+, time	
0.041,	0.054,	0.097, 	1.01
0.038,	0.047,	0.087	
0.037,	0.053,	0.104	
0.037,	0.056,	0.087	
0.04,	0.056,	0.098	
0.04,	0.054,	0.086	
0.043,	0.055,	0.087	
0.041,	0.052,	0.083	
0.04,	0.057,	0.091	
0.039,	0.056,	0.083	
0.038,	0.06,	0.081	
0.043,	0.056,	0.083	
0.04,	0.06,	0.089	
0.04,	0.059,	0.086	
0.039,	0.055,	0.093	
0.037,	0.054,	0.082	
0.042,	0.057,	0.088	
0.041,	0.06,	0.081	
0.044,	0.053,	0.087	
0.042,	0.056,	0.086	
