Lbs-, Acc+, Mpg+, time
0.076,	0.118,	0.165
0.084,	0.096,	0.142
0.074,	0.13,	0.158
0.079,	0.112,	0.136
0.093,	0.124,	0.18
0.08,	0.122,	0.159
0.09,	0.108,	0.172
0.079,	0.106,	0.142
0.08,	0.101,	0.133
0.089,	0.095,	0.151
0.081,	0.105,	0.176
0.085,	0.127,	0.136
0.088,	0.121,	0.161
0.079,	0.112,	0.122
0.089,	0.111,	0.137
0.087,	0.11,	0.139
0.081,	0.116,	0.182
0.084,	0.128,	0.134
0.095,	0.107,	0.16
0.076,	0.12,	0.157
,,, 6.92
