Performance-,Time
0.042
0.042
210429537.574
0.043
0.043
0.042
0.042
0.041
0.042
0.043
0.043
0.041
998806032.79
0.043
0.041
0.043
29721684.303
1031528224.302
420308834.347
0.041
,1.12
